date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,1.5,1.5,1.5,1.5,0,7350,0.37240299389346554,0.031012713332694206,0.0005424825442366325,-0.16197912955298946,0.24212645946522976
2026-04-28 00:00:00+05:30,1.5,1.5,1.5,1.5,0,7350,0.42155049430458713,0.029006236547646926,0.0004738257358537403,-0.17090070447532338,0.219177402031263
2026-04-29 00:00:00+05:30,1.5,1.5,1.5,1.5,0,7350,0.42390684595187333,0.029227547207184845,0.00048118825198693394,-0.17660386029008607,0.21735197487406507
2026-04-30 00:00:00+05:30,1.5,1.5,1.5,1.5,0,7350,0.4337699757374344,0.029148907786435724,0.00047857213882893405,-0.18331673668691875,0.21261709946917723
2026-05-04 00:00:00+05:30,1.5,1.5,1.5,1.5,0,7350,,,,,
2026-05-05 00:00:00+05:30,1.5,1.5,1.5,1.5,0,7350,,,,,
2026-05-06 00:00:00+05:30,1.5,1.5,1.5,1.5,0,7350,,,,,
2026-05-07 00:00:00+05:30,1.5,1.5,1.5,1.5,0,7350,,,,,
2026-05-08 00:00:00+05:30,1.5,1.5,1.5,1.5,0,7350,,,,,
2026-05-11 00:00:00+05:30,1.5,1.5,1.5,1.5,0,7350,,,,,
2026-05-12 00:00:00+05:30,0.7,0.7,0.5,0.5,1400,8400,,,,,
2026-05-13 00:00:00+05:30,0.4,0.4,0.35,0.35,2450,9100,,,,,
2026-05-14 00:00:00+05:30,0.3,0.3,0.2,0.2,2100,8750,,,,,
2026-05-15 00:00:00+05:30,0.2,0.2,0.2,0.2,0,8750,,,,,
