date,open,high,low,close,volume
2000-01-03 00:00:00+05:30,5209.5,5384.6,5209.5,5375.1,0
2000-01-04 00:00:00+05:30,5533.9,5533.9,5376.4,5491.0,0
2000-01-05 00:00:00+05:30,5265.0,5464.3,5184.4,5357.0,0
2000-01-06 00:00:00+05:30,5424.2,5489.8,5391.3,5421.5,0
2000-01-07 00:00:00+05:30,5358.2,5463.2,5330.5,5414.4,0
2000-01-10 00:00:00+05:30,5617.5,5668.2,5459.9,5518.3,0
2000-01-11 00:00:00+05:30,5513.0,5537.6,5221.2,5296.3,0
2000-01-12 00:00:00+05:30,5267.8,5494.3,5267.8,5491.2,0
2000-01-13 00:00:00+05:30,5568.6,5652.2,5430.8,5444.8,0
2000-01-14 00:00:00+05:30,5460.3,5476.3,5344.5,5471.2,0
2000-01-17 00:00:00+05:30,5617.7,5664.5,5404.0,5404.0,0
2000-01-18 00:00:00+05:30,5414.2,5465.5,5347.9,5464.5,0
2000-01-19 00:00:00+05:30,5496.6,5528.1,5460.6,5478.2,0
2000-01-20 00:00:00+05:30,5508.0,5516.1,5348.5,5355.8,0
2000-01-21 00:00:00+05:30,5352.6,5441.8,5330.0,5423.0,0
2000-01-24 00:00:00+05:30,5529.3,5583.2,5439.4,5458.0,0
2000-01-25 00:00:00+05:30,5412.4,5430.2,5351.2,5367.7,0
2000-01-27 00:00:00+05:30,5424.1,5457.3,5362.2,5369.1,0
2000-01-28 00:00:00+05:30,5417.5,5417.5,5331.5,5335.8,0
2000-01-31 00:00:00+05:30,5338.6,5345.3,5186.3,5205.2,0
2000-02-01 00:00:00+05:30,5217.6,5232.8,5127.7,5215.5,0
2000-02-02 00:00:00+05:30,5264.6,5342.9,5264.6,5304.9,0
2000-02-03 00:00:00+05:30,5366.6,5381.7,5323.3,5340.1,0
2000-02-04 00:00:00+05:30,5394.0,5402.7,5313.5,5313.5,0
2000-02-07 00:00:00+05:30,5431.5,5518.2,5431.5,5474.0,0
2000-02-08 00:00:00+05:30,5585.3,5647.6,5585.3,5610.5,0
2000-02-09 00:00:00+05:30,5704.0,5756.8,5635.6,5649.1,0
2000-02-10 00:00:00+05:30,5765.2,5789.0,5715.0,5789.0,0
2000-02-11 00:00:00+05:30,5985.0,6005.8,5917.0,5933.5,0
2000-02-14 00:00:00+05:30,6130.2,6150.6,5923.1,5924.3,0
2000-02-15 00:00:00+05:30,5797.3,5941.8,5774.3,5803.1,0
2000-02-16 00:00:00+05:30,5782.2,5864.9,5711.7,5725.5,0
2000-02-17 00:00:00+05:30,5810.2,5877.0,5799.7,5835.1,0
2000-02-18 00:00:00+05:30,5894.1,5894.1,5681.9,5721.6,0
2000-02-21 00:00:00+05:30,5874.2,5941.9,5834.5,5876.8,0
2000-02-22 00:00:00+05:30,6000.3,6009.0,5864.7,5883.3,0
2000-02-23 00:00:00+05:30,6002.4,6033.9,5612.5,5642.4,0
2000-02-24 00:00:00+05:30,5764.1,5816.1,5620.8,5810.1,0
2000-02-25 00:00:00+05:30,5840.2,5840.2,5623.0,5623.0,0
2000-02-28 00:00:00+05:30,5737.5,5740.6,5580.0,5740.6,0
2000-02-29 00:00:00+05:30,5827.8,5903.4,5383.6,5446.9,0
2000-03-01 00:00:00+05:30,5464.6,5681.1,5341.6,5642.1,0
2000-03-02 00:00:00+05:30,5803.3,5828.7,5528.3,5528.3,0
2000-03-03 00:00:00+05:30,5602.9,5602.9,5362.8,5378.2,0
2000-03-06 00:00:00+05:30,5662.2,5692.9,5459.6,5520.6,0
2000-03-07 00:00:00+05:30,5674.9,5674.9,5525.8,5589.8,0
2000-03-08 00:00:00+05:30,5711.8,5783.5,5439.1,5511.4,0
2000-03-09 00:00:00+05:30,5579.8,5607.9,5278.6,5328.7,0
2000-03-10 00:00:00+05:30,5384.4,5478.9,5196.7,5301.7,0
2000-03-13 00:00:00+05:30,5372.8,5430.8,5100.6,5129.2,0
2000-03-14 00:00:00+05:30,5020.5,5177.5,4943.3,5175.7,0
2000-03-15 00:00:00+05:30,5067.4,5339.9,5045.9,5249.7,0
2000-03-16 00:00:00+05:30,5249.9,5301.4,5077.3,5102.4,0
2000-03-21 00:00:00+05:30,5177.5,5230.3,5085.5,5133.2,0
2000-03-22 00:00:00+05:30,5204.0,5247.2,5159.3,5201.8,0
2000-03-23 00:00:00+05:30,5314.3,5314.3,5088.1,5115.0,0
2000-03-24 00:00:00+05:30,5083.1,5203.9,5052.7,5141.4,0
2000-03-27 00:00:00+05:30,5203.1,5286.8,5126.3,5146.3,0
2000-03-28 00:00:00+05:30,5094.1,5156.2,5044.1,5156.1,0
2000-03-29 00:00:00+05:30,5233.7,5233.7,5080.4,5102.4,0
2000-03-30 00:00:00+05:30,4984.1,5058.4,4891.4,5041.0,0
2000-03-31 00:00:00+05:30,4892.4,5022.2,4867.2,5001.2,0
2000-04-03 00:00:00+05:30,5070.5,5085.0,4977.2,5052.9,0
2000-04-04 00:00:00+05:30,4907.4,4907.4,4666.9,4691.4,0
2000-04-05 00:00:00+05:30,4616.3,4852.4,4601.5,4757.0,0
2000-04-06 00:00:00+05:30,4899.4,4899.4,4608.1,4866.7,0
2000-04-07 00:00:00+05:30,4987.1,5222.8,4987.1,5219.2,0
2000-04-10 00:00:00+05:30,5481.4,5532.5,5435.3,5442.8,0
2000-04-11 00:00:00+05:30,5428.7,5541.8,5368.2,5541.5,0
2000-04-12 00:00:00+05:30,5502.4,5542.8,5416.1,5426.8,0
2000-04-13 00:00:00+05:30,5130.1,5205.6,5106.2,5172.1,0
2000-04-17 00:00:00+05:30,4797.9,4899.5,4797.9,4880.7,0
