date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,1150,1150,1150,1150,0,400,0.4521176985309637,-0.8507758212036474,0.0002541461746253808,-2.37086151290271,4.698540378456222
2026-04-28 00:00:00+05:30,1150,1150,1150,1150,0,400,,,,,
2026-04-29 00:00:00+05:30,1150,1150,1150,1150,0,400,0.49090424208515016,-0.8347265221645218,0.0002588774110014421,-3.1438412271638585,4.859137823230951
2026-04-30 00:00:00+05:30,1150,1150,1150,1150,0,400,,,,,
2026-05-04 00:00:00+05:30,1150,1150,1150,1150,0,400,,,,,
2026-05-05 00:00:00+05:30,1150,1150,1150,1150,0,400,,,,,
2026-05-06 00:00:00+05:30,1150,1150,1150,1150,0,400,,,,,
2026-05-07 00:00:00+05:30,1150,1150,1150,1150,0,400,,,,,
2026-05-08 00:00:00+05:30,1150,1150,1150,1150,0,400,,,,,
2026-05-11 00:00:00+05:30,1150,1150,1150,1150,0,400,,,,,
2026-05-12 00:00:00+05:30,1150,1150,1150,1150,0,400,,,,,
2026-05-13 00:00:00+05:30,1150,1150,1150,1150,0,400,,,,,
2026-05-14 00:00:00+05:30,1150,1150,1150,1150,0,400,,,,,
2026-05-15 00:00:00+05:30,1150,1150,1150,1150,0,400,,,,,
