date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,46.3,46.3,46.3,46.3,0,0,1.3034755847098196,-0.4735259389806422,0.004024741676341482,-0.6478501883792241,0.3020396025484815
2026-04-28 00:00:00+05:30,46.3,46.3,46.3,46.3,0,0,1.3400958970186472,-0.46884088730121376,0.003967103959116595,-0.6812417466634043,0.2975472574640433
2026-04-29 00:00:00+05:30,46.3,46.3,46.3,46.3,0,0,1.3267552577167632,-0.4815845141951095,0.004123149840076293,-0.6820818510460461,0.2903181156281298
2026-04-30 00:00:00+05:30,46.3,46.3,46.3,46.3,0,0,1.2974097671456055,-0.5003139504246443,0.004351511685512833,-0.6715233643318005,0.2819048485775865
2026-05-04 00:00:00+05:30,46.3,46.3,46.3,46.3,0,0,1.4072575431986507,-0.5010561123015149,0.004359835199009811,-0.7977713424280268,0.25940206528074017
2026-05-05 00:00:00+05:30,46.3,46.3,46.3,46.3,0,0,,,,,
2026-05-06 00:00:00+05:30,46.3,46.3,46.3,46.3,0,0,,,,,
2026-05-07 00:00:00+05:30,46.3,46.3,46.3,46.3,0,0,,,,,
2026-05-08 00:00:00+05:30,46.3,46.3,46.3,46.3,0,0,,,,,
2026-05-11 00:00:00+05:30,46.3,46.3,46.3,46.3,0,0,,,,,
2026-05-12 00:00:00+05:30,46.3,46.3,46.3,46.3,0,0,,,,,
2026-05-13 00:00:00+05:30,46.3,46.3,46.3,46.3,0,0,,,,,
2026-05-14 00:00:00+05:30,46.3,46.3,46.3,46.3,0,0,,,,,
2026-05-15 00:00:00+05:30,46.3,46.3,46.3,46.3,0,0,,,,,
